HG00403-GS000016660-ASM	887735e9b20e3417102c1fa51a7184a8+52873
HG00404-GS000016669-ASM	59d1ec2aeb2870d035ac8262bb33707c+52869
HG00405-GS000016661-ASM	22479f4761e85bf35c6984bd6aa6427d+52872
HG00406-GS000016662-ASM	af1a0e9284148f18f4448179994e14e0+52871
HG00407-GS000016663-ASM	e30c4751da92edf9c1c2c48c00987d43+52871
HG00408-GS000016670-ASM	33fb64e54583b9c37a9af2f6a19c2e65+52871
HG00421-GS000016832-ASM	4be2e05e9edaa68b70edaa2bab904be7+52874
HG00422-GS000016833-ASM	330fb9e4820766fec213dbb19d1e60ca+52867
HG00423-GS000016671-ASM	06082fe64a1075f8c5e787cf3562c096+52871
HG00436-GS000016683-ASM	02fefa4d9b4773edd5c029fd3125c364+52875
HG00437-GS000016672-ASM	f4c70471e6d76e40167d28efd2727ff2+52870
HG00438-GS000016673-ASM	dc5299b2b3841638c3d951faca0cfd16+52871
HG00442-GS000016869-ASM	cd1c344097fc22b80dcdd86620c00fb4+52867
HG00443-GS000016674-ASM	ec8c49f8eb10e0618b84d10615d5851b+52865
HG00444-GS000016675-ASM	1006491df00f3860b2518d9c58729b05+52875
HG00448-GS000016676-ASM	c4d7d3d08a919794bccea5877dc2d659+52874
HG00449-GS000016677-ASM	322e82661350bae31801d24a486c23b1+52869
HG00450-GS000016678-ASM	6ab3eb27d16f6c90ef922f77f45f07ba+52870
HG00463-GS000016679-ASM	b5498b764b0af8116beac290508fe9e7+52874
HG00464-GS000016680-ASM	3a7f7f0da6fb7ddf7a664d46e79d3f8b+52871
HG00465-GS000016681-ASM	4de4999b8bc22df846e7b89f30d434eb+52876
HG00472-GS000016706-ASM	abe19bd888d6fe844c1c137cdc5cf397+52875
HG00473-GS000016707-ASM	c1198b1cd8eca5029477aaf9c2399902+52870
HG00474-GS000016708-ASM	c9103da821310306eb4f2b3c560a3b13+52873
HG00475-GS000016709-ASM	c0943ce739c9b603027c716388a3f00f+52877
HG00476-GS000016710-ASM	8f015e3e5147e72ce1c80dcaae3bd499+52864
HG00477-GS000016711-ASM	89fa067868d997a6f5e388ce819c2ec8+52876
HG00478-GS000016712-ASM	41fca371e2fd11a240eda672dce2e325+52873
HG00479-GS000016713-ASM	2a28b58c77d101fadd22b1548e83be96+52868
HG00480-GS000016714-ASM	7e305f5b7c9bdcb4888d013f27f58f87+52873
HG00530-GS000016715-ASM	fcb3466085cba253f5c5fa258b3fda34+52872
HG00531-GS000016849-ASM	41199188afdc9d3e21cc1d1e15cf75ac+52866
HG00532-GS000016716-ASM	9c35aaf6f38a05f08943688e5d714b37+52873
HG00533-GS000016717-ASM	27c4c7df50d4acd5e6e0006934fb1b95+52871
HG00534-GS000016718-ASM	0fc0c8ee86c3263da93f7c66b54842e9+52863
HG00535-GS000016719-ASM	1799448a8f883c5f63e267b9f258f953+52868
HG00536-GS000017031-ASM	affaecdaed21070dad17b78cae49ef29+52873
HG00537-GS000016720-ASM	c55f04c7f498cf972f91e1984e95a20f+52863
HG00538-GS000016721-ASM	41b244bbedeb87804d48312bdbaf3baa+52871
HG00542-GS000016722-ASM	08e071ed92eee20e332b37845b925fab+52876
HG00543-GS000016723-ASM	7318bcc1dab49691666185a5f686dd0c+52869
HG00544-GS000016724-ASM	7ec11fd5e53768c8407e46b362f83823+52868
HG00556-GS000016725-ASM	ad76690a83a550514e0edc4439a29560+52872
HG00557-GS000016845-ASM	869b4886cff612bd04c30d05d6f0a9d3+52872
HG00558-GS000016834-ASM	f1be50423b9778e57637e4229bf37d89+52866
HG00559-GS000016835-ASM	51aefa6e38d1a2586033dc29ec158c79+52872
HG00560-GS000016830-ASM	169ef179ff90b57f52d586328dcf2acd+52867
HG00561-GS000016836-ASM	a260791d0451db76eb7baf0602a81046+52866
HG00589-GS000016837-ASM	ab29fa88ac8835472e1d9fda6719d555+52871
HG00590-GS000016838-ASM	d0db6621e33f4ba296028522d72937cc+52867
HG00591-GS000016839-ASM	939fca5c8c87d276d210152f6634a940+52872
HG00592-GS000016840-ASM	2f0527488bb280bdaf80e8cfd220371a+52875
HG00593-GS000016841-ASM	bb82d4a180d5556cdf731bd340af356b+52867
HG00594-GS000016842-ASM	666af625f19af3e3f2020429a540699a+52873
HG00607-GS000016843-ASM	54fe3a08e62b17b78b17e789947788ea+52868
HG00608-GS000016831-ASM	b32feb44e06d2b5a64e932def0b39e0a+52867
HG00609-GS000016844-ASM	9a80f5cccf4420170cfaff079d20f9c2+52875
HG00610-GS000016850-ASM	a1f76a747d175b83f896624572427736+52877
HG00611-GS000016851-ASM	62170199a93695033fa91b8bec5c0c94+52870
HG00612-GS000016852-ASM	2b4f543ee33b972a4badd6132e9c5c84+52870
HG00613-GS000016853-ASM	3c0d79581f00d2ee367f03e38406916f+52871
HG00614-GS000016854-ASM	68d38ee5b4e8bf14764d1da6e0552193+52865
HG00615-GS000016855-ASM	885d861ca6dc36541a6dc8f2003e02fe+52866
HG00619-GS000016979-ASM	62a9693bd999b7e64bac58b0f0c4fc01+52872
HG00620-GS000017245-ASM	4056272e8c2ffeadf079915c2c823738+52861
HG00621-GS000017116-ASM	9dbcebff1f948c45d986217d7060791c+52870
HG00625-GS000017120-ASM	3399cee44046a5e6753c2a174d2869b6+52873
